Sept. 14, 2020   13:07:46
Linear Sweep Voltammetry,
File: c:\users\zhanglei\desktop\zzy\ivData Source:  Experiment,
Instrument Model:  CHI660E,
Header: ,
Note: ,
,
Init E (V) = 0,
Final E (V) = 1.2,
Scan Rate (V/s) = 0.1,
Sample Interval (V) = 0.001,
Quiet Time (sec) = 2,
Sensitivity (A/V) = 0.01,
,
,
Potential/V, Current/A
,
1.056,1.90E-02
1.057,1.90E-02
1.058,1.90E-02
1.059,1.91E-02
1.06,1.91E-02
1.061,1.91E-02
1.062,1.91E-02
1.063,1.91E-02
1.064,1.92E-02
1.065,1.92E-02
1.066,1.92E-02
1.067,1.92E-02
1.068,1.92E-02
1.069,1.92E-02
1.07,1.92E-02
1.071,1.93E-02
1.072,1.93E-02
1.073,1.93E-02
1.074,1.93E-02
1.075,1.93E-02
1.076,1.93E-02
1.077,1.93E-02
1.078,1.94E-02
1.079,1.94E-02
1.08,1.94E-02
1.081,1.94E-02
1.082,1.94E-02
1.083,1.95E-02
1.084,1.95E-02
1.085,1.95E-02
1.086,1.95E-02
1.087,1.95E-02
1.088,1.95E-02
1.089,1.96E-02
1.09,1.96E-02
1.091,1.96E-02
1.092,1.96E-02
1.093,1.96E-02
1.094,1.96E-02
1.095,1.96E-02
1.096,1.97E-02
1.097,1.97E-02
1.098,1.97E-02
1.099,1.97E-02
1.1,1.97E-02
1.101,1.97E-02
1.102,1.98E-02
1.103,1.98E-02
1.104,1.98E-02
1.105,1.98E-02
1.106,1.98E-02
1.107,1.99E-02
1.108,1.99E-02
1.109,1.99E-02
1.11,1.99E-02
1.111,1.99E-02
1.112,1.99E-02
1.113,2.00E-02
1.114,2.00E-02
1.115,2.00E-02
1.116,2.00E-02
1.117,2.00E-02
1.118,2.00E-02
1.119,2.00E-02
